date,rice_price,sugar_price,wheat_price,rainfall_mm,temp_c
2013-01-01,72.795,52.025,35.25,15.700000000000001,11.45483870967742
2013-02-01,73.89500000000001,51.620000000000005,35.19,137.0,14.342857142857143
2013-03-01,74.68,51.96,35.06,16.700000000000003,19.924193548387095
2013-04-01,74.93,53.305,34.25,7.3999999999999995,25.64
2013-05-01,74.93,53.18,34.4,14.100000000000001,31.614516129032257
2013-06-01,74.93,53.18,35.894999999999996,141.6,32.093333333333334
2013-07-01,74.93,54.18,36.375,92.0,30.96451612903226
2013-08-01,75.815,53.83,38.22,213.7,28.583870967741937
2013-09-01,77.14500000000001,53.805,39.540000000000006,25.0,29.001666666666665
2013-10-01,77.14500000000001,53.805,39.85,25.3,25.687096774193545
2013-11-01,77.14500000000001,53.805,40.41,10.9,18.238333333333333
2013-12-01,77.14500000000001,53.805,40.725,1.4,14.037096774193548
2014-01-01,77.14500000000001,51.195,40.55,6.6,12.316129032258065
2014-02-01,77.14500000000001,51.305,40.790000000000006,33.9,13.273214285714285
2014-03-01,77.14500000000001,53.215,41.35,82.2,18.206451612903226
2014-04-01,77.14500000000001,52.68,39.555,23.7,24.313333333333333
2014-05-01,77.14500000000001,52.815,36.675,43.7,29.69516129032258
2014-06-01,78.08500000000001,54.010000000000005,36.55,25.0,34.49166666666667
2014-07-01,78.39500000000001,56.705,37.64,104.2,31.52258064516129
2014-08-01,78.39500000000001,57.975,39.44,65.2,30.81935483870968
2014-09-01,78.39500000000001,60.335,39.575,237.3,27.828333333333333
2014-10-01,78.39500000000001,58.81,39.4,22.099999999999998,24.75
2014-11-01,78.39500000000001,56.915,39.26,4.4,19.261666666666667
2014-12-01,76.25,53.69,39.2,0.8,13.35483870967742
2015-01-01,74.285,54.1,38.25,38.2,12.19516129032258
2015-02-01,74.785,54.370000000000005,38.45,72.8,15.573214285714286
2015-03-01,74.285,54.1,38.25,139.5,18.17258064516129
2015-04-01,72.535,57.07,37.650000000000006,51.4,24.478333333333335
2015-05-01,71.785,59.725,36.43,6.0,30.679032258064513
2015-06-01,71.34,62.39,35.9,49.0,31.523333333333333
2015-07-01,70.89500000000001,65.245,37.3,183.1,29.698387096774194
2015-08-01,70.89500000000001,65.07,36.68,134.9,29.379032258064516
2015-09-01,70.89500000000001,64.51,37.084999999999994,62.5,28.891666666666666
2015-10-01,67.39500000000001,62.045,38.66,28.1,25.02741935483871
2015-11-01,59.59,59.995000000000005,39.0,7.4,19.413333333333334
2015-12-01,56.285,57.705,38.75,5.7,14.730645161290322
2016-01-01,58.239999999999995,60.155,38.75,26.2,13.303225806451612
2016-02-01,60.504999999999995,63.035,38.75,15.3,15.732758620689655
2016-03-01,60.504999999999995,63.315000000000005,38.6,87.8,20.59193548387097
2016-04-01,60.504999999999995,63.34,37.49,2.9,27.331666666666667
2016-05-01,60.504999999999995,63.730000000000004,36.25,11.2,32.65483870967742
2016-06-01,60.504999999999995,64.815,36.46,47.5,33.875
2016-07-01,60.92,67.57,37.015,155.5,30.470967741935485
2016-08-01,62.59,71.535,37.06,149.5,29.51290322580645
2016-09-01,64.09,71.535,37.315,3.6999999999999997,29.776666666666664
2016-10-01,65.09,71.35,37.69,7.7,26.443548387096776
2016-11-01,65.09,71.21000000000001,37.875,0.9,20.279999999999998
2016-12-01,65.09,62.83,38.0,0.4,16.306451612903224
2017-01-01,66.03,63.645,38.0,62.0,12.919354838709678
2017-02-01,69.795,62.965,38.0,15.5,16.8125
2017-03-01,70.83500000000001,61.08,37.95,23.6,21.114516129032257
2017-04-01,73.01,60.615,36.765,15.399999999999999,28.665000000000003
2017-05-01,75.35499999999999,58.7,35.81,14.0,32.211290322580645
2017-06-01,75.35499999999999,56.42,35.35,76.1,31.96333333333333
2017-07-01,75.35499999999999,54.735,35.065,87.9,30.717741935483872
2017-08-01,75.85499999999999,56.504999999999995,34.6,258.7,29.88225806451613
2017-09-01,76.60499999999999,55.235,35.685,15.0,28.748333333333335
2017-10-01,77.54499999999999,54.165,36.75,0.6000000000000001,25.937096774193545
2017-11-01,77.85499999999999,54.395,38.3,6.9,18.565
2017-12-01,77.85499999999999,54.394999999999996,38.5,21.7,14.379032258064516
2018-01-01,81.16,53.195,38.25,11.7,13.151612903225805
2018-02-01,81.16,52.07,37.815,20.0,16.089285714285715
2018-03-01,81.15,52.120000000000005,37.7,16.900000000000002,21.89032258064516
2018-04-01,81.16,53.32,36.5,15.2,26.773333333333333
2018-05-01,81.16,53.07,34.065,19.7,31.116129032258065
2018-06-01,81.16,53.695,32.625,125.9,32.745
2018-07-01,81.16,54.32,38.0,151.9,30.427419354838708
2018-08-01,81.16,55.695,37.5,88.0,30.532258064516128
2018-09-01,81.16,54.510000000000005,37.78,120.3,28.958333333333332
2018-10-01,81.2,54.57,38.685,3.9,24.58225806451613
2018-11-01,81.16,54.52,38.375,7.3,19.438333333333333
2018-12-01,81.16,55.195,38.375,4.4,13.577419354838709
2019-01-01,81.16,54.52,38.525,34.5,11.979032258064517
2019-02-01,81.16,59.144999999999996,38.625,77.39999999999999,13.964285714285714
2019-03-01,81.16,60.894999999999996,38.605000000000004,22.200000000000003,19.288709677419355
2019-04-01,81.16,64.965,38.269999999999996,35.1,27.836666666666666
2019-05-01,81.49,66.96000000000001,38.625,14.200000000000001,30.933870967741935
2019-06-01,81.57499999999999,69.99,40.0,7.300000000000001,34.43666666666666
2019-07-01,81.57499999999999,72.02,41.0,161.8,31.240322580645163
2019-08-01,81.57499999999999,74.745,41.025000000000006,90.6,30.011290322580646
2019-09-01,81.57499999999999,74.755,40.715,35.3,30.490000000000002
2019-10-01,81.57499999999999,73.805,40.715,21.299999999999997,25.17096774193548
2019-11-01,81.315,72.92,40.465,33.3,19.191666666666666
2019-12-01,82.105,70.33,40.465,24.800000000000004,11.919354838709678
2020-01-01,81.445,75.375,41.25,61.099999999999994,11.116129032258065
2020-02-01,81.445,80.255,40.25,28.400000000000002,15.763793103448277
2020-03-01,81.445,80.94999999999999,40.25,129.7,18.29516129032258
2020-04-01,81.445,82.05,40.25,18.8,24.96333333333333
2020-05-01,81.57499999999999,82.08500000000001,40.375,18.9,30.533870967741933
2020-06-01,83.10499999999999,80.47,49.595,18.1,32.708333333333336
2020-07-01,84.22999999999999,83.465,46.614999999999995,73.1,31.788709677419355
2020-08-01,84.765,94.245,43.0,108.0,30.966129032258063
2020-09-01,85.31,94.28999999999999,43.0,53.2,30.271666666666665
2020-10-01,85.31,98.74000000000001,43.0,0.0,26.030645161290323
2020-11-01,85.31,94.94,43.0,9.8,18.403333333333332
2020-12-01,85.31,82.965,45.385000000000005,15.2,13.574193548387097
2021-01-01,85.31,91.545,43.0,40.4,11.887096774193548
2021-02-01,85.31,93.765,43.65,1.1,16.803571428571427
2021-03-01,86.925,97.85,43.0,10.1,21.906451612903226
2021-04-01,87.905,95.63499999999999,47.015,19.7,25.176666666666666
2021-05-01,91.265,94.325,53.125,5.6,30.55322580645161
2021-06-01,92.925,98.025,53.349999999999994,10.7,33.005
2021-07-01,93.455,102.655,54.105000000000004,92.8,32.0
